trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
386,False,"{'a': 0.010435660079444214, 'e': 0.02087132015888843}",20,2,30.29573958306581,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.010331303478649773, 'e': 0.020662606957299545}",25,0,34.3285699271925,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
388,False,"{'a': 0.010227990443863275, 'e': 0.02045598088772655}",20,4,25.179260947276667,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.010125710539424642, 'e': 0.020251421078849283}",20,1,20.453207725815417,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.010024453434030396, 'e': 0.02004890686806079}",20,0,18.73642048853516,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
391,False,"{'a': 0.009924208899690092, 'e': 0.019848417799380184}",25,17,15.509294310963561,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.00982496681069319, 'e': 0.01964993362138638}",20,6,25.390734973980603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.009726717142586258, 'e': 0.019453434285172516}",20,4,14.250011150206872,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
394,False,"{'a': 0.009629449971160395, 'e': 0.01925889994232079}",20,8,21.775575476476103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.009533155471448791, 'e': 0.019066310942897582}",20,0,-14.17953627614618,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
396,False,"{'a': 0.009437823916734304, 'e': 0.01887564783346861}",20,12,12.888293189859048,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.009343445677566961, 'e': 0.018686891355133923}",20,2,30.85831023595422,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.00925001122079129, 'e': 0.01850002244158258}",20,0,26.92439265392926,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
399,False,"{'a': 0.009157511108583379, 'e': 0.018315022217166757}",25,8,27.36820331020001,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.009065935997497544, 'e': 0.018131871994995087}",25,16,6.460712854650613,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.008975276637522569, 'e': 0.017950553275045137}",30,13,32.77194233840191,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.008885523871147343, 'e': 0.017771047742294686}",30,16,23.66757548364945,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.00879666863243587, 'e': 0.01759333726487174}",30,8,31.22512344905342,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.008708701946111511, 'e': 0.017417403892223023}",25,7,-13.14996561978164,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
405,False,"{'a': 0.008621614926650395, 'e': 0.01724322985330079}",25,0,30.60366203464942,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.008535398777383891, 'e': 0.017070797554767782}",20,9,21.269134074695287,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.008450044789610053, 'e': 0.016900089579220106}",25,0,31.06080658662595,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
408,False,"{'a': 0.008365544341713951, 'e': 0.016731088683427903}",20,2,31.395703141380547,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.008281888898296813, 'e': 0.016563777796593626}",20,15,8.514981958702641,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.008199070009313844, 'e': 0.016398140018627688}",25,0,-6.166286824167365,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
411,False,"{'a': 0.008117079309220706, 'e': 0.01623415861844141}",20,7,25.2844854858048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.008035908516128499, 'e': 0.016071817032256998}",20,5,27.167861810454177,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.007955549430967213, 'e': 0.015911098861934425}",25,0,35.71111319466538,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
414,False,"{'a': 0.007875993936657541, 'e': 0.015751987873315082}",20,0,34.124078405191675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
415,False,"{'a': 0.007797233997290966, 'e': 0.015594467994581931}",20,5,24.323419895019065,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.007719261657318056, 'e': 0.015438523314636111}",25,3,-6.310171332713228,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
417,False,"{'a': 0.007642069040744875, 'e': 0.01528413808148975}",25,12,19.5776000147207,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.007565648350337427, 'e': 0.015131296700674854}",25,0,32.63442077843205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
419,False,"{'a': 0.007489991866834052, 'e': 0.014979983733668104}",20,10,18.582151612612048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.007415091948165711, 'e': 0.014830183896331423}",20,6,26.491180653120473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.007340941028684054, 'e': 0.014681882057368109}",25,0,32.77655993145086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
422,False,"{'a': 0.0072675316183972135, 'e': 0.014535063236794427}",20,12,12.779319072580876,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.007194856302213242, 'e': 0.014389712604426484}",20,2,27.847414464369443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.007122907739191109, 'e': 0.014245815478382218}",20,12,13.933367992042616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.007051678661799198, 'e': 0.014103357323598397}",20,5,29.46582234539957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.006981161875181206, 'e': 0.013962323750362412}",25,16,12.982111632202992,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.0069113502564293935, 'e': 0.013822700512858787}",20,0,-8.631536766745462,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
428,False,"{'a': 0.0068422367538650995, 'e': 0.013684473507730199}",30,16,33.74995252599652,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.006773814386326449, 'e': 0.013547628772652897}",25,0,36.73047880652436,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
430,False,"{'a': 0.006706076242463184, 'e': 0.013412152484926368}",20,6,25.66958598177194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.006639015480038552, 'e': 0.013278030960077104}",35,20,29.924887746530565,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.006572625325238167, 'e': 0.013145250650476333}",25,0,-5.50814743466781,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
433,False,"{'a': 0.006506899071985785, 'e': 0.01301379814397157}",20,0,29.753953742981885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.006441830081265927, 'e': 0.012883660162531854}",25,3,36.06832338230847,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.0063774117804532675, 'e': 0.012754823560906535}",20,0,-35.45349634733459,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
436,False,"{'a': 0.006313637662648735, 'e': 0.01262727532529747}",30,16,12.832342154730366,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
437,False,"{'a': 0.006250501286022248, 'e': 0.012501002572044496}",20,5,26.47187437880739,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.006187996273162025, 'e': 0.01237599254632405}",30,1,50.415971440755406,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.0061261163104304045, 'e': 0.012252232620860809}",30,12,29.71189424074983,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.006064855147326101, 'e': 0.012129710294652202}",25,15,15.46903773246286,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.00600420659585284, 'e': 0.01200841319170568}",25,0,39.16020843254226,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
442,False,"{'a': 0.005944164529894311, 'e': 0.011888329059788622}",30,15,26.68375509833972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.005884722884595368, 'e': 0.011769445769190735}",25,14,-19.90711261345212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
444,False,"{'a': 0.005825875655749414, 'e': 0.011651751311498829}",25,14,18.893263139669518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.00576761689919192, 'e': 0.01153523379838384}",30,15,22.79197170196579,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.0057099407302000004, 'e': 0.011419881460400001}",35,16,35.0185088355599,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.0056528413228980005, 'e': 0.011305682645796001}",20,8,-19.254514403927466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
448,False,"{'a': 0.005596312909669021, 'e': 0.011192625819338041}",20,6,19.24129777685876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.005540349780572331, 'e': 0.011080699561144661}",25,15,10.861410535530583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.005484946282766607, 'e': 0.010969892565533214}",25,5,33.18192605892352,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.005430096819938941, 'e': 0.010860193639877882}",25,7,32.548772296178576,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
